twitter,"[0.6206328908341752, 0.4360314860077464]"
mississippi state,"[0.7027819284987276, -0.017568209223157667]"
central american migrants,"[0.6238776945276411, -0.023687491569557458]"
asylum seekers,"[0.570265948512201, -0.021652326748721036]"
