covid-19,"[0.8106083857593067, 0.7168495323102668]"
donald trump,"[0.5035920601185746, 0.4215580932480007]"
virus,"[0.6326588766387764, 0.3459499061160317]"
democratic party,"[0.31842379216973266, 0.5289354105758992]"
lebron james,"[0.7695047707048948, -0.021133967506680257]"
hurricane ian,"[1.0, -0.012345679012345678]"
