none.none,"[0.7594029297283473, 0.638107539874663]"
covid-19.none,"[0.6675569175186635, 0.5819402419819744]"
donald trump.joe biden,"[0.696879150066401, 0.3656239488731921]"
big government.americans,"[-0.06410256410256407, 0.5740259740259741]"
