joe biden,"[0.4729579769395157, 0.6012421421456546]"
nancy pelosi,"[0.42130225469087895, 0.6180296771698857]"
steve smith,"[-0.028938439264005463, 0.5714630769430155]"
alexandria ocasio-cortez,"[0.7784863469893093, 0.37185257331795607]"
aaron rodgers,"[-0.02629869767780011, 0.5972864017303915]"
liz truss,"[-0.03332000799467041, 0.5196064785314713]"
cdc,"[0.5029571828201786, -0.029194171176283795]"
jeff zients,"[0.6238776945276411, 0.300041559881061]"
