ukraine,"[0.5583242348095385, 0.4835381975635602]"
manchester united,"[0.5511837965123383, -0.0650997604458415]"
daphne caruana galizia,"[0.601078318859845, -0.034900240637988814]"
prince,"[0.6616835701069886, -0.02080571906314274]"
nhs,"[0.5029571828201786, -0.029194171176283798]"
dilma rousseff,"[0.6238776945276411, -0.023687491569557448]"
