joe biden,"[0.3495111588417641, 0.5010605416495792]"
hillary clinton,"[0.5642432214328771, -0.03550194138123421]"
scott morrison,"[0.08658157160268647, 0.508978893149863]"
stephen curry,"[0.610231774721404, 0.10643320352172901]"
ursula von der leyen,"[-0.028831940416443363, 0.5027885035915544]"
philip lowe,"[-0.020549179195869224, 0.6616218662079388]"
urban meyer,"[0.5702659485122011, -0.021652326748721036]"
robert mueller,"[0.6238776945276411, -0.023687491569557455]"
naftali bennett,"[-0.020120072718098223, 0.8148431084695211]"
jeff zients,"[-0.023395413544786543, 0.6237706113316797]"
