none.donald trump.joe biden,"[0.5020958782968746, 0.3307562778212409]"
none.donald trump.ted cruz,"[0.8933418124639813, -0.012345679012345668]"
maruti suzuki.none.none,"[-0.03978415966885738, 0.6204836822995432]"
ted cruz.donald trump.none,"[1.0, nan]"
none.donald trump.hillary clinton,"[0.5654263720629514, -0.020371077711738027]"
aaron judge.none.none,"[-0.02862918339559248, 0.5652767597611373]"
