covid-19,"[0.8004751707502274, 0.6373026865387768]"
injuries,"[-0.029259264337713236, 0.7050480775921935]"
ncaa,"[-0.03332000799467041, 0.5196064785314718]"
johnson & johnson,"[0.5029571828201786, -0.029194171176283798]"
