none.covid-19,"[0.5697268582988388, 0.36644739488757205]"
joe biden.donald trump,"[0.7249185666140672, 0.19949463341614956]"
none.elon musk,"[-0.051731596799451184, 0.5920695170949771]"
lady gaga.none,"[0.6218516763579258, -0.03609977325179684]"
shah rukh khan.none,"[0.7050716207366339, -0.02677397763008331]"
juan guaidó.nicolás maduro,"[0.9999999999999999, -0.012345679012345684]"
