joe biden,"[0.5942999732766334, 0.5063444742787674]"
venezuela,"[0.3604292362602526, 0.6968241272326902]"
taiwan,"[0.6158956258039386, 0.1637042342275446]"
ted cruz,"[0.809324158720302, -0.018791740531691935]"
michael flynn,"[0.5197921247168585, -0.033740680424121525]"
black community,"[0.5029571828201785, -0.0291941711762838]"
tesla,"[-0.03042903097250922, 0.8113774296425394]"
elizabeth warren,"[0.7027819284987278, -0.01756820922315766]"
asylum seekers,"[-0.03042903097250923, 0.8113774296425391]"
