joe biden.donald trump,"[0.438083052489857, 0.5172531026402427]"
hillary clinton.donald trump,"[0.5284989542738869, 0.5856233436776076]"
none.andrew cuomo,"[0.5176044679736659, -0.03842094890926154]"
ted cruz.donald trump,"[0.8800812633416879, 0.2613113523287771]"
julian assange.hillary clinton,"[0.36530051182696477, 0.7539949596048321]"
