ted cruz,"[0.7332695420488862, 0.5582610099329806]"
chris christie,"[0.3717550198098158, 0.7698961335843767]"
kellyanne conway,"[0.5177621088984157, -0.048304589153964836]"
john kasich,"[0.7430379865110818, -0.03810003810005719]"
rex tillerson,"[0.5197921247168584, -0.033740680424121525]"
lady gaga,"[0.5654263720629515, -0.028988551782622437]"
david hogg,"[0.5654263720629513, -0.028988551782622433]"
john fetterman,"[0.6983225049986964, 0.3312031292432377]"
juan guaidó,"[-0.012195121951219513, 1.0]"
giannis antetokounmpo,"[0.8114408259335794, -0.03081180112566604]"
