none.none,"[0.6498672001906571, 0.5427096597878811]"
covid-19.none,"[0.7428303773605033, 0.7329699732097743]"
russia.ukraine,"[0.6709559364823459, 0.3225997085487208]"
ted cruz.none,"[0.7027819284987274, -0.017568209223157667]"
kim jong-un.north korea,"[0.5197921247168585, 0.5196064785314718]"
donald trump.north korea,"[-0.02012007271809823, 0.8148431084695215]"
donald trump.federal workers,"[0.9475142485638549, 0.300041559881061]"
