hillary clinton,"[0.6075644367766293, 0.254239971740964]"
two people,"[-0.04287536116688989, 0.5567259256275242]"
patients,"[0.5970199731699813, -0.04151826621679646]"
northern ireland,"[0.5654263720629514, -0.02898855178262243]"
arizona diamondbacks,"[-0.027126559192071603, 0.5355995392523476]"
sushant singh rajput,"[0.8114408259335794, 0.3902828142584366]"
nawaz sharif,"[0.5702659485122009, -0.021652326748721036]"
