joe biden,"[0.4879500364742665, 0.5679618342470647]",40,105
ted cruz,"[0.48448897343108027, 0.5088592575458736]",1,66
ted cruz,"[0.3160241136120753, 0.5611828482539467]",2,67
ted cruz,"[0.33875374294707916, 0.5968580970934647]",3,68
ted cruz,"[0.4342719158419528, 0.7557810851263982]",4,69
ted cruz,"[0.6666347496508894, nan]",5,70
pope francis,"[0.5681120688308978, -0.028398091712353267]",76,141
pope francis,"[0.5681120688308978, -0.028398091712353267]",77,142
pope francis,"[0.5681120688308978, -0.028398091712353267]",78,143
pope francis,"[0.5681120688308978, -0.02839809171235326]",79,144
pope francis,"[0.6956083436402525, -0.04048881650894582]",80,145
pope francis,"[0.6956083436402525, -0.047147000728447686]",81,146
pope francis,"[0.6956083436402525, -0.047147000728447686]",82,147
pope francis,"[0.6956083436402525, -0.0471470007284477]",83,148
pope francis,"[0.809885163769916, -0.04048881650894581]",84,149
pope francis,"[0.809885163769916, -0.04048881650894581]",85,150
pope francis,"[0.809885163769916, -0.04048881650894581]",86,151
pope francis,"[0.809885163769916, -0.04048881650894581]",87,152
pope francis,"[0.809885163769916, -0.04048881650894582]",88,153
pope francis,"[0.6956083436402525, -0.04048881650894582]",89,154
pope francis,"[0.6956083436402525, -0.04714700072844773]",90,155
pope francis,"[0.5535117231700726, -0.058222250973958174]",91,156
pope francis,"[0.5535117231700726, -0.058222250973958195]",92,157
pope francis,"[0.5535117231700726, -0.05822225097395819]",93,158
hillary clinton,"[0.5712527170244925, -0.03203736821083832]",19,84
lionel messi,"[0.5089025260615638, -0.04866684971514357]",20,85
lionel messi,"[0.5089025260615638, -0.045415152695787046]",21,86
lionel messi,"[0.5269327584516725, -0.045415152695787046]",22,87
lionel messi,"[0.5269327584516725, -0.045415152695787046]",23,88
lionel messi,"[0.5269327584516725, -0.045415152695787046]",24,89
lionel messi,"[0.5269327584516725, -0.04207445350899113]",25,90
lionel messi,"[0.5470874069676194, -0.04207445350899113]",26,91
lionel messi,"[0.5470874069676194, -0.038622563423083824]",27,92
lionel messi,"[0.5698028822981898, -0.0386225634230838]",28,93
lionel messi,"[0.5698028822981898, -0.03862256342308382]",29,94
lionel messi,"[0.5698028822981898, -0.03862256342308382]",30,95
lionel messi,"[0.5698028822981898, -0.03503154258888815]",31,96
lionel messi,"[0.5956545253609172, -0.035031542588888145]",32,97
lionel messi,"[0.5956545253609172, -0.03126526997403614]",33,98
lionel messi,"[0.6254190227862128, -0.03126526997403614]",34,99
lionel messi,"[0.6254190227862128, -0.03126526997403614]",35,100
lionel messi,"[0.6254190227862128, -0.03126526997403615]",36,101
lionel messi,"[0.6254190227862128, -0.02727561277943634]",37,102
lionel messi,"[0.6601749440126456, -0.027275612779436346]",38,103
lionel messi,"[0.6601749440126456, -0.027275612779436346]",39,104
