united states,"[0.5026155365907203, 0.1430658458798253]",123,160
ukraine,"[0.6969320524371696, -0.0422200330920749]",52,89
ukraine,"[0.6969320524371695, -0.0422200330920749]",53,90
ukraine,"[0.6969320524371697, -0.04222003309207489]",54,91
ukraine,"[0.6969320524371696, -0.04222003309207489]",55,92
ukraine,"[0.6969320524371697, -0.042220033092074886]",56,93
ukraine,"[0.6969320524371696, -0.04222003309207489]",57,94
ukraine,"[0.6969320524371697, -0.042220033092074886]",58,95
ukraine,"[0.6969320524371696, -0.04222003309207489]",59,96
ukraine,"[0.6969320524371697, -0.042220033092074886]",60,97
ukraine,"[0.6969320524371696, -0.04222003309207489]",61,98
ukraine,"[0.6969320524371697, -0.042220033092074886]",62,99
ukraine,"[0.6969320524371696, -0.029411764705882342]",63,100
ukraine,"[1.0, -0.029411764705882342]",64,101
ukraine,"[1.0, -0.029411764705882342]",65,102
ukraine,"[1.0, -0.029411764705882342]",66,103
ukraine,"[1.0, -0.029411764705882342]",67,104
ukraine,"[1.0, -0.029411764705882342]",68,105
ukraine,"[1.0, nan]",69,106
republican party,"[0.2551551815399144, 0.6275987638080028]",34,71
republican party,"[0.38635005589295257, 0.7132758280973012]",35,72
republican party,"[0.36585455788075655, 0.6874505200208261]",36,73
republican party,"[0.3658545578807566, 0.663842439588925]",37,74
republican party,"[0.3014806056714256, 0.535167176978238]",38,75
republican party,"[0.2551551815399144, 0.5591730257306002]",39,76
republican party,"[0.5753964555687504, 0.27761261601152887]",69,106
republican party,"[0.13483997249264842, 0.5412294272573259]",75,112
republican party,"[-0.10360608425945605, 0.7076951380609254]",127,164
republican party,"[-0.07220640094792104, 0.7076951380609255]",128,165
joe biden,"[-0.04730499167912658, 0.5617641775741017]",103,140
joe biden,"[-0.03297377843939832, 0.5608501514164599]",104,141
joe biden,"[-0.028386647790182944, 0.5675099846163366]",105,142
joe biden,"[-0.02838664779018297, 0.5680014950015734]",106,143
joe biden,"[-0.038052119532359485, 0.5680014950015734]",107,144
joe biden,"[-0.042653070402924646, 0.5608501514164599]",108,145
joe biden,"[-0.04265307040292463, 0.5550228674132158]",109,146
joe biden,"[-0.028783683125170198, 0.57610463608978]",110,147
joe biden,"[-0.028783683125170167, 0.5761046360897801]",111,148
joe biden,"[-0.02878368312517017, 0.57610463608978]",112,149
joe biden,"[-0.005355409801796722, 0.6707499509389754]",113,150
joe biden,"[-0.005355409801796704, 0.6707499509389753]",114,151
joe biden,"[0.011012975422342627, 0.706106355642965]",115,152
joe biden,"[0.028496158549310324, 0.7478663742958254]",116,153
joe biden,"[0.07013098674613823, 0.5780326639493212]",117,154
joe biden,"[0.21189138534559043, 0.5780326639493212]",118,155
migrants,"[0.6287819935134874, 0.3770369514319493]",124,161
migrants,"[0.4241380059937357, 0.686797342825118]",125,162
migrants,"[0.33287702465488905, 0.686797342825118]",126,163
migrants,"[0.332877024654889, 0.5806214017078704]",127,164
migrants,"[0.3540052161969215, 0.5806214017078705]",128,165
migrants,"[0.3775798414920159, 0.6110824143859135]",129,166
george floyd,"[1.0, nan]",70,107
george floyd,"[0.5118906968889914, 0.3643262080314644]",126,163
george floyd,"[-0.0409960030845394, 0.6966305460192357]",129,166
george floyd,"[-0.0409960030845394, 0.6966305460192357]",130,167
george floyd,"[-0.0409960030845394, 0.6966305460192357]",131,168
iran,"[-0.13033504702905396, 0.5034100373413123]",6,43
iran,"[-0.09682905995410163, 0.5034100373413123]",7,44
iran,"[0.560611910581388, -0.052510503151050394]",122,159
iran,"[0.560611910581388, -0.052510503151050394]",123,160
iran,"[0.6969320524371695, -0.04222003309207489]",124,161
iran,"[0.6969320524371697, nan]",125,162
children,"[-0.0409960030845394, 0.6966305460192357]",0,37
children,"[-0.0409960030845394, 0.6966305460192357]",1,38
children,"[-0.04099600308453939, 0.6966305460192357]",2,39
barack obama,"[-0.0556414884074657, 0.6966305460192357]",70,107
barack obama,"[-0.05096471914376256, 0.6966305460192357]",71,108
barack obama,"[-0.04099600308453939, 0.6966305460192358]",72,109
barack obama,"[-0.0409960030845394, 0.6966305460192358]",73,110
barack obama,"[-0.040996003084539386, 0.6966305460192358]",74,111
barack obama,"[-0.04099600308453939, 0.6966305460192357]",75,112
barack obama,"[-0.040996003084539386, 0.6966305460192357]",76,113
barack obama,"[-0.040996003084539406, 0.6966305460192357]",77,114
barack obama,"[-0.040996003084539386, 0.6966305460192357]",78,115
barack obama,"[-0.04099600308453939, 0.6966305460192357]",79,116
barack obama,"[-0.040996003084539386, 0.6966305460192357]",80,117
consumers,"[-0.06859943405700354, 0.5479221492712083]",63,100
consumers,"[-0.06859943405700353, 0.5479221492712083]",64,101
consumers,"[-0.06859943405700353, 0.8126501354034559]",65,102
consumers,"[-0.04780914437337575, 0.8126501354034559]",66,103
consumers,"[-0.03877833671647405, 0.8918284040088786]",67,104
consumers,"[-0.03877833671647405, 0.8918284040088786]",68,105
consumers,"[-0.028571428571428588, 0.9999999999999999]",69,106
immigrants,"[-0.0588235294117647, 0.6966305460192358]",79,116
immigrants,"[-0.04099600308453939, 0.6966305460192358]",80,117
immigrants,"[-0.050964719143762556, 0.6966305460192358]",81,118
immigrants,"[-0.050964719143762556, 0.5601120336112039]",82,119
immigrants,"[-0.050964719143762556, 0.5601120336112039]",83,120
immigrants,"[-0.050964719143762556, 0.5601120336112039]",84,121
immigrants,"[-0.05096471914376256, 0.560112033611204]",85,122
immigrants,"[-0.050964719143762556, 0.560112033611204]",86,123
immigrants,"[-0.050964719143762556, 0.560112033611204]",87,124
