joe biden,"[0.48832523840319625, 0.568257570707744]",38,105
ted cruz,"[0.4852311172466907, 0.5089461459886359]",1,68
ted cruz,"[0.3167073981179468, 0.561182385273749]",2,69
ted cruz,"[0.3367231147507181, 0.5968463979938127]",3,70
ted cruz,"[0.4300219468259211, 0.7491347969594284]",4,71
ted cruz,"[0.6661596163580537, nan]",5,72
pope francis,"[0.5683985600588052, -0.027496334066503737]",76,143
pope francis,"[0.5683985600588052, -0.027496334066503737]",77,144
pope francis,"[0.6959705453537525, -0.03919309008348102]",78,145
pope francis,"[0.6959705453537525, -0.045625727388610336]",79,146
pope francis,"[0.6959705453537526, -0.04562572738861034]",80,147
pope francis,"[0.6959705453537528, -0.04562572738861033]",81,148
pope francis,"[0.6959705453537527, -0.04562572738861034]",82,149
pope francis,"[0.6959705453537527, -0.04562572738861034]",83,150
pope francis,"[0.8100925873009825, -0.03919309008348103]",84,151
pope francis,"[0.8100925873009824, -0.03919309008348103]",85,152
pope francis,"[0.8100925873009823, -0.03919309008348103]",86,153
pope francis,"[0.6959705453537526, -0.03919309008348103]",87,154
pope francis,"[0.6959705453537526, -0.04562572738861033]",88,155
pope francis,"[0.5542739954736932, -0.056328717175483774]",89,156
pope francis,"[0.5542739954736932, -0.056328717175483774]",90,157
pope francis,"[0.554273995473693, -0.056328717175483774]",91,158
hillary clinton,"[0.5485512102188435, -0.03438070820862645]",19,86
lionel messi,"[0.5091184124894083, -0.0470515313695044]",20,87
lionel messi,"[0.5091184124894083, -0.04392052305789416]",21,88
lionel messi,"[0.52715647649392, -0.04392052305789416]",22,89
lionel messi,"[0.5271564764939201, -0.04392052305789416]",23,90
lionel messi,"[0.5271564764939201, -0.04392052305789416]",24,91
lionel messi,"[0.5271564764939201, -0.040701071547698725]",25,92
lionel messi,"[0.5473157220055898, -0.040701071547698725]",26,93
lionel messi,"[0.5473157220055898, -0.037371754637596795]",27,94
lionel messi,"[0.5700321059902494, -0.037371754637596795]",28,95
lionel messi,"[0.5700321059902494, -0.03737175463759679]",29,96
lionel messi,"[0.5700321059902493, -0.03737175463759679]",30,97
lionel messi,"[0.5700321059902493, -0.03390556130028063]",31,98
lionel messi,"[0.595880262407191, -0.03390556130028063]",32,99
lionel messi,"[0.5958802624071913, -0.03026753671017232]",33,100
lionel messi,"[0.6256357713104292, -0.030267536710172325]",34,101
lionel messi,"[0.6256357713104292, -0.03026753671017232]",35,102
lionel messi,"[0.6256357713104292, -0.030267536710172325]",36,103
lionel messi,"[0.6256357713104294, -0.02641107046026615]",37,104
lionel messi,"[0.6603754344907471, -0.026411070460266143]",38,105
lionel messi,"[0.6603754344907471, -0.02641107046026615]",39,106
lionel messi,"[0.6603754344907471, -0.026411070460266143]",40,107
lionel messi,"[0.6603754344907471, -0.022271770159368705]",41,108
lionel messi,"[0.6603754344907469, -0.026411070460266146]",42,109
lionel messi,"[0.6603754344907468, -0.026411070460266157]",43,110
lionel messi,"[0.6603754344907468, -0.02641107046026615]",44,111
lionel messi,"[0.6603754344907468, -0.026411070460266157]",45,112
lionel messi,"[0.6603754344907468, -0.02641107046026615]",46,113
lionel messi,"[0.6603754344907468, -0.026411070460266153]",47,114
lionel messi,"[0.6256357713104292, -0.030267536710172314]",48,115
lionel messi,"[0.6256357713104294, -0.030267536710172314]",49,116
lionel messi,"[0.6256357713104291, -0.030267536710172314]",50,117
lionel messi,"[0.6256357713104291, -0.030267536710172314]",51,118
lionel messi,"[0.6256357713104291, -0.030267536710172314]",52,119
lionel messi,"[0.6256357713104292, -0.025854384499750957]",53,120
nigel farage,"[0.8474591702989982, -0.03862997904346928]",0,67
nigel farage,"[0.8474591702989983, -0.03862997904346927]",1,68
nigel farage,"[0.8474591702989983, -0.03862997904346928]",2,69
nigel farage,"[0.8474591702989983, -0.03862997904346928]",3,70
nigel farage,"[0.8474591702989983, -0.03862997904346928]",4,71
nigel farage,"[0.8474591702989983, -0.03862997904346928]",5,72
nigel farage,"[0.8474591702989983, -0.03862997904346928]",6,73
nigel farage,"[0.8409973289354183, -0.03862997904346928]",7,74
nigel farage,"[0.8409973289354181, -0.04070107154769874]",8,75
nigel farage,"[0.8409973289354181, -0.04070107154769874]",9,76
nigel farage,"[0.8409973289354181, -0.04070107154769874]",10,77
nigel farage,"[0.8409973289354182, nan]",11,78
theresa may,"[-0.09202643353333034, 0.5028953815539717]",0,67
theresa may,"[-0.09202643353333034, 0.5028953815539718]",1,68
bernie sanders,"[0.568398560058805, -0.027496334066503737]",65,132
bernie sanders,"[0.568398560058805, -0.027496334066503737]",66,133
bernie sanders,"[0.5683985600588051, -0.027496334066503737]",67,134
bernie sanders,"[0.568398560058805, -0.027496334066503737]",68,135
bernie sanders,"[0.568398560058805, -0.02749633406650374]",69,136
bernie sanders,"[0.568398560058805, -0.027496334066503737]",70,137
bernie sanders,"[0.5683985600588051, -0.02749633406650374]",71,138
bernie sanders,"[0.568398560058805, -0.027496334066503737]",72,139
bernie sanders,"[0.5683985600588051, -0.027496334066503737]",73,140
bernie sanders,"[0.5683985600588051, -0.027496334066503737]",74,141
bernie sanders,"[0.5683985600588051, -0.027496334066503737]",75,142
bernie sanders,"[0.568398560058805, -0.027496334066503737]",76,143
bernie sanders,"[0.5683985600588051, -0.027496334066503737]",77,144
bernie sanders,"[0.5683985600588051, -0.027496334066503737]",78,145
bernie sanders,"[0.5683985600588051, -0.02749633406650374]",79,146
bernie sanders,"[0.5683985600588052, -0.02749633406650374]",80,147
bernie sanders,"[0.5683985600588052, -0.02749633406650374]",81,148
