none.none.none,"[-0.6040385867621483, 0.6733434765609393]",21,37
none.none.none,"[-0.4505228632028144, 0.6621509528027912]",22,38
none.none.none,"[0.11881379805951357, 0.580804314042263]",71,87
none.none.none,"[0.06448350581363892, 0.7021000030750634]",72,88
none.none.none,"[0.148827474530336, 0.7832820945530011]",73,89
none.none.none,"[0.22016773461294595, 0.7923023438136149]",74,90
none.none.none,"[0.2450587749279022, 0.8173402567609677]",75,91
none.none.none,"[0.1915998376523341, 0.8736952244894384]",76,92
none.none.none,"[0.2821157512368692, 0.8683849736066344]",77,93
none.none.none,"[0.2753512453639351, 0.8809583407695657]",78,94
none.none.none,"[0.539511587951342, 0.6808109220847844]",79,95
none.none.none,"[0.3622111650293626, 0.7659406649515316]",80,96
none.none.none,"[0.5673690162461509, 0.5310850045437943]",81,97
none.none.none,"[0.6813851438692464, nan]",82,98
none.none.none,"[0.6864250601224593, 0.7659242246567526]",89,105
none.none.none,"[0.516105686021157, 0.3495026204118801]",90,106
none.none.none,"[0.5482638939569756, 0.5709812266089535]",91,107
none.none.none,"[0.3934879363725521, 0.5071505162084872]",92,108
none.none.none,"[0.4013517033964218, 0.5742228781988913]",93,109
none.none.none,"[0.3229741525739313, 0.5164255375925224]",94,110
none.none.none,"[0.35217746299587277, 0.5284880111683483]",95,111
none.none.none,"[0.5524527810884668, -0.06698076732841081]",137,153
none.none.none,"[0.6578041291391749, -0.1067696839935315]",138,154
none.donald trump.none,"[0.5040161287741853, 0.02564945880212888]",3,19
none.donald trump.none,"[-0.04724555912615341, 0.50450905420131]",7,23
none.donald trump.none,"[-0.04724555912615338, 0.50450905420131]",8,24
none.donald trump.none,"[-0.047245559126153386, 0.5461596158689868]",9,25
none.donald trump.none,"[-0.047245559126153414, 0.5045090542013101]",10,26
none.donald trump.none,"[0.6813851438692465, -0.11322770341445959]",80,96
none.donald trump.none,"[0.6813851438692464, nan]",81,97
donald trump.none.none,"[0.5345224838248487, 0.5310850045437943]",26,42
donald trump.none.none,"[0.6813851438692464, nan]",27,43
none.donald trump.hillary clinton,"[-0.0375469630741319, 0.5243499584278375]",13,29
none.donald trump.hillary clinton,"[-0.02449979787750132, 0.524684779317124]",14,30
none.donald trump.hillary clinton,"[0.02832963498350367, 0.6656474355896437]",15,31
none.donald trump.hillary clinton,"[0.05763904177042348, 0.7054539489031876]",16,32
none.donald trump.hillary clinton,"[0.11470786693528089, 0.8522649890741215]",17,33
none.donald trump.hillary clinton,"[0.15724272550828766, 0.9435641951204968]",18,34
none.donald trump.hillary clinton,"[0.6813851438692464, nan]",19,35
"none
villain: none
victim: none.none.none","[-0.10482848367219186, 0.6793662204867577]",0,16
"none
villain: none
victim: none.none.none","[-0.10482848367219186, 0.6793662204867577]",1,17
"none
villain: none
victim: none.none.none","[-0.10482848367219186, 0.6793662204867578]",2,18
"none
villain: none
victim: none.none.none","[-0.10482848367219186, 0.6793662204867578]",3,19
"none
villain: none
victim: none.none.none","[-0.10482848367219189, 0.6793662204867578]",4,20
"none
villain: none
victim: none.none.none","[-0.10482848367219189, 0.6793662204867579]",5,21
"none
villain: none
victim: none.none.none","[-0.10482848367219189, 0.6793662204867579]",6,22
"none
villain: none
victim: none.none.none","[0.6813851438692465, -0.11322770341445956]",22,38
"none
villain: none
victim: none.none.none","[0.6813851438692465, -0.11322770341445956]",23,39
"none
villain: none
victim: none.none.none","[0.6813851438692465, -0.11322770341445956]",24,40
"none
villain: none
victim: none.none.none","[0.5345224838248482, -0.11322770341445959]",25,41
"none
villain: none
victim: none.none.none","[-0.12427395320024, 0.807207352795575]",27,43
"none
villain: none
victim: none.none.none","[-0.18238430103502132, 0.807207352795575]",28,44
"none
villain: none
victim: none.none.none","[-0.18238430103502132, 0.5749792108382483]",31,47
"none
villain: none
victim: none.none.none","[-0.14484136487558022, 0.5749792108382482]",32,48
"none
villain: none
victim: none.none.none","[-0.14484136487558022, 0.5749792108382485]",33,49
"none
villain: none
victim: none.none.none","[-0.1448413648755802, 0.5749792108382483]",34,50
"none
villain: none
victim: none.none.none","[-0.1448413648755802, 0.5749792108382485]",35,51
"none
villain: none
victim: none.none.none","[-0.1448413648755802, 0.5749792108382483]",36,52
"none
villain: none
victim: none.none.none","[-0.14484136487558016, 0.5749792108382484]",37,53
"none
villain: none
victim: none.none.none","[-0.14484136487558016, 0.5749792108382483]",38,54
"none
villain: none
victim: none.none.none","[-0.1823843010350213, 0.5749792108382484]",39,55
"none
villain: none
victim: none.none.none","[-0.14484136487558016, 0.5749792108382483]",40,56
joe biden.none.none,"[0.4230769230769231, 1.0]",103,119
joe biden.none.none,"[0.6813851438692469, 0.6793662204867575]",104,120
none.china.united states,"[0.6813851438692468, -0.11322770341445956]",63,79
none.china.united states,"[0.6813851438692468, -0.11322770341445956]",64,80
none.china.united states,"[0.6813851438692469, -0.11322770341445959]",65,81
none.china.united states,"[0.6813851438692466, -0.11322770341445959]",66,82
none.china.united states,"[0.6813851438692465, -0.11322770341445956]",67,83
none.china.united states,"[0.6813851438692465, -0.11322770341445958]",70,86
none.china.united states,"[0.6813851438692465, -0.11322770341445956]",71,87
none.china.united states,"[0.6813851438692465, -0.11322770341445956]",72,88
none.china.united states,"[0.6813851438692465, -0.11322770341445959]",73,89
none.china.united states,"[0.6813851438692465, nan]",74,90
none.china.united states,"[1.0, nan]",89,105
none.china.united states,"[0.9999999999999999, -0.07692307692307693]",90,106
none.china.united states,"[0.9999999999999999, -0.07692307692307693]",91,107
none.china.united states,"[0.9999999999999999, -0.07692307692307694]",92,108
