donald trump,"[0.5090084376587001, 0.013118460335266776]",73,107
joe biden,"[0.5590169943749475, 0.6956083436402524]",71,105
joe biden,"[0.5590169943749473, 0.5584155773160768]",72,106
joe biden,"[0.08409704726019909, 0.509070631046531]",77,111
joe biden,"[0.08409704726019912, 0.509070631046531]",78,112
joe biden,"[0.6525289349057958, 0.22572011594448854]",79,113
joe biden,"[0.6657801370984072, 0.3086066999241839]",80,114
joe biden,"[0.5911040987536048, 0.38112741077138035]",81,115
joe biden,"[0.5060821576051713, 0.07620499280986875]",83,117
police,"[0.6051785244066328, 0.02744085414829605]",72,106
police,"[0.5654527761937891, 0.10119453729458625]",73,107
police,"[0.6169137089349244, 0.1292000723520607]",74,108
police,"[0.5825888867246823, 0.10730956331787157]",75,109
police,"[0.5293352275567252, -0.047946330148538406]",82,116
police,"[0.5293352275567252, -0.047946330148538406]",83,117
police,"[0.5293352275567254, -0.030795627922464555]",84,118
narendra modi,"[-0.06565321642986127, 0.5584155773160767]",122,156
narendra modi,"[-0.055901699437494734, 0.5584155773160767]",123,157
narendra modi,"[-0.055901699437494734, 0.5584155773160767]",124,158
narendra modi,"[-0.055901699437494734, 0.5584155773160767]",125,159
narendra modi,"[-0.055901699437494734, 0.5584155773160767]",126,160
narendra modi,"[-0.055901699437494734, 0.5584155773160767]",127,161
narendra modi,"[-0.055901699437494734, 0.5584155773160767]",128,162
hillary clinton,"[0.5040935462921546, 0.2087414303617165]",6,40
hillary clinton,"[0.5040935462921546, 0.2087414303617165]",7,41
hillary clinton,"[0.5040935462921546, 0.2087414303617165]",8,42
hillary clinton,"[0.5040935462921546, 0.2087414303617165]",9,43
hillary clinton,"[0.5040935462921546, 0.2087414303617165]",10,44
hillary clinton,"[0.5469470049236735, 0.17731193073182905]",11,45
hillary clinton,"[0.5723347319802806, 0.17731193073182905]",12,46
hillary clinton,"[0.5858396731835455, 0.15270375536811043]",13,47
hillary clinton,"[0.5357196241459402, 0.01627656765307354]",14,48
hillary clinton,"[0.6417983387593215, 0.03751348383156346]",15,49
hillary clinton,"[0.6495956606174286, 0.0811107105653813]",16,50
hillary clinton,"[0.6495956606174286, 0.4445004445006668]",17,51
hillary clinton,"[0.7965318751745053, 0.5132140515415138]",18,52
hillary clinton,"[0.9477281753053008, nan]",19,53
hillary clinton,"[-0.04490132550669372, 0.6956083436402524]",33,67
hillary clinton,"[-0.05590169943749475, 0.6956083436402524]",34,68
hillary clinton,"[-0.05590169943749474, 0.5584155773160768]",35,69
hillary clinton,"[-0.05590169943749474, 0.5584155773160768]",36,70
hillary clinton,"[-0.05590169943749473, 0.5584155773160768]",37,71
hillary clinton,"[-0.05590169943749473, 0.5584155773160768]",38,72
hillary clinton,"[-0.05590169943749473, 0.5584155773160768]",39,73
hillary clinton,"[-0.05590169943749473, 0.5584155773160768]",40,74
hillary clinton,"[-0.05590169943749473, 0.5584155773160768]",41,75
hillary clinton,"[-0.05590169943749473, 0.5584155773160768]",42,76
hillary clinton,"[-0.05590169943749473, 0.5584155773160768]",43,77
hillary clinton,"[-0.06565321642986129, 0.5584155773160768]",44,78
hillary clinton,"[-0.055901699437494734, 0.5584155773160768]",48,82
hillary clinton,"[-0.055901699437494734, 0.5584155773160767]",49,83
hillary clinton,"[-0.05590169943749474, 0.5584155773160767]",50,84
hillary clinton,"[-0.0656532164298613, 0.5584155773160767]",51,85
gavin newsom,"[-0.1174440439029407, 0.52678658400752]",83,117
gavin newsom,"[-0.11744404390294072, 0.52678658400752]",84,118
gavin newsom,"[-0.11744404390294072, 0.52678658400752]",85,119
gavin newsom,"[-0.11744404390294072, 0.52678658400752]",86,120
gavin newsom,"[-0.11744404390294072, 0.52678658400752]",87,121
gavin newsom,"[-0.11744404390294072, 0.52678658400752]",88,122
gavin newsom,"[-0.13793103448275862, 0.52678658400752]",89,123
"none
villain: none
victim: none","[-0.04490132550669373, 0.6956083436402524]",79,113
"none
villain: none
victim: none","[-0.044901325506693734, 0.6956083436402524]",80,114
"none
villain: none
victim: none","[-0.044901325506693734, 0.6956083436402524]",81,115
"none
villain: none
victim: none","[-0.04490132550669373, 0.6956083436402524]",82,116
"none
villain: none
victim: none","[-0.04490132550669373, 0.6956083436402524]",83,117
"none
villain: none
victim: none","[-0.04490132550669373, 0.6956083436402524]",84,118
"none
villain: none
victim: none","[-0.04490132550669373, 0.6956083436402524]",85,119
"none
villain: none
victim: none","[-0.04490132550669373, 0.6956083436402524]",86,120
"none
villain: none
victim: none","[-0.055901699437494734, 0.5584155773160768]",87,121
"none
villain: none
victim: none","[-0.055901699437494734, 0.5584155773160768]",88,122
"none
villain: none
victim: none","[-0.055901699437494734, 0.5584155773160768]",89,123
"none
villain: none
victim: none","[-0.055901699437494734, 0.5584155773160768]",90,124
"none
villain: none
victim: none","[-0.055901699437494734, 0.5584155773160768]",91,125
mark zuckerberg,"[0.5590169943749473, -0.05776712868787]",71,105
mark zuckerberg,"[0.5590169943749473, -0.05776712868787]",72,106
mark zuckerberg,"[0.5590169943749473, -0.05776712868787]",73,107
mark zuckerberg,"[0.5590169943749473, -0.05776712868787]",74,108
mark zuckerberg,"[0.5590169943749473, -0.046373889576016826]",75,109
mark zuckerberg,"[-0.044901325506693734, 0.6956083436402524]",81,115
mark zuckerberg,"[-0.044901325506693734, 0.6956083436402524]",82,116
mark zuckerberg,"[-0.044901325506693734, 0.6956083436402524]",83,117
mark zuckerberg,"[-0.04490132550669373, 0.6956083436402524]",84,118
mark zuckerberg,"[-0.04490132550669374, 0.6956083436402524]",85,119
mark zuckerberg,"[-0.04490132550669373, 0.6956083436402524]",86,120
mark zuckerberg,"[-0.04490132550669374, 0.6956083436402524]",87,121
mark zuckerberg,"[-0.06451612903225808, 0.6956083436402524]",88,122
jesus christ,"[0.5460047926576328, -0.0778498944161523]",23,57
jesus christ,"[0.5460047926576328, -0.0778498944161523]",24,58
jesus christ,"[0.5460047926576328, -0.0778498944161523]",25,59
jesus christ,"[0.5460047926576328, -0.0778498944161523]",26,60
jesus christ,"[0.5460047926576328, -0.0778498944161523]",27,61
jesus christ,"[0.5460047926576328, -0.0778498944161523]",28,62
jesus christ,"[0.5460047926576328, -0.0778498944161523]",29,63
apple,"[-0.04807692307692307, 0.9038298266428528]",7,41
apple,"[-0.04807692307692308, 0.9038298266428528]",8,42
apple,"[-0.05590169943749475, 0.9038298266428528]",9,43
apple,"[-0.048076923076923066, 0.9038298266428528]",10,44
apple,"[-0.048076923076923066, 0.9038298266428528]",11,45
apple,"[-0.048076923076923066, 0.9038298266428528]",12,46
apple,"[-0.048076923076923066, 0.9038298266428528]",13,47
apple,"[-0.048076923076923066, 0.9038298266428528]",14,48
apple,"[-0.048076923076923066, 0.9038298266428529]",15,49
apple,"[-0.048076923076923066, 0.9038298266428529]",16,50
apple,"[-0.05590169943749474, 0.8665069303180502]",17,51
apple,"[-0.05590169943749473, 0.8665069303180502]",18,52
apple,"[-0.05590169943749474, 0.8665069303180502]",19,53
apple,"[-0.05590169943749474, 0.8665069303180502]",20,54
