none.none.none,0.7726506365626091,-0.18862455888905108
alex jones.global elite.80% of the world's population,1.0,0.6666666666666665
alex jones.global elite.world population,0.7698003589195012,0.9999999999999997
donald trump.none.none,0.5163977794943222,nan
none.global elite.80% of the world's population,0.6708203932499369,-0.11111111111111109
alex jones.global elite.80% of world's population,0.6708203932499369,-0.11111111111111109
none.china.united states,0.6708203932499368,-0.16666666666666663
alex jones.global elite.80% of world population,-0.14907119849998599,0.6666666666666665
none.harvey weinstein.none,0.6708203932499369,-0.11111111111111109
apple.none.none,0.6708203932499368,-0.16666666666666663
