outlet,15day,FarRight,Right,victim,target,0.04314844745910684,0.43276801584787733,0.19871277877648524,0.7055483770378445,0.12035863212246775,-0.015248235640409004
outlet,15day,FarRight,Right,victim,afghans,-0.008493813448193948,-0.008545136050864469,0.7049607769015921,-0.008649664680624114,-0.00870289388875507,-0.005548386319384315
outlet,15day,FarRight,Right,victim,britney spears,-0.009088092969485461,0.9451632265943347,-0.009198684222326267,-0.00925499535807147,-0.009312000179982328,-0.007256562681413832
outlet,15day,FarRight,Right,victim,marco rubio,0.7674526596551796,0.42865615039122973,0.6911542774571525,0.4414740671365267,0.652024282238544,nan
outlet,15day,FarRight,Right,victim,dreamers,0.34661943257532474,0.7060705922117707,0.3465347198143021,0.34649158241674705,-0.01315624980228504,-0.014717743752968367
outlet,15day,FarRight,CenterRight,victim,jacob blake,0.44291990362801914,0.8938896856393816,-0.008150940146297211,-0.008200762815763023,-0.008251198315720677,-0.011851416411408053
outlet,15day,FarRight,CenterRight,victim,tiktok,0.6904258939924551,0.690408059567842,-0.010127970779631058,-0.01018998871939154,-0.010252770865347717,-0.012377647343631865
outlet,15day,FarRight,CenterRight,victim,britney spears,-0.007587961082236544,0.9484940090402474,-0.0076801042043607905,-0.007727020086582881,-0.007774512688166177,-0.008046910367668891
outlet,15day,FarRight,CenterRight,victim,marco rubio,0.29003254784041743,0.30487918936066843,0.8216892704885759,-0.009595689816501395,-0.007991570566111057,nan
outlet,15day,FarRight,CenterRight,victim,brett kavanaugh,-0.01536011762168079,-0.01545419459627265,0.6884157280081822,0.21904188733350122,0.21897735982904953,-0.006055452091945677
outlet,15day,FarRight,Center,victim,afghanistan,0.529868707564004,0.669723170592558,0.057333748861928005,-0.03033073756219341,-0.013019647548776301,-0.012558261446179496
outlet,15day,FarRight,Center,victim,jacob blake,0.19046384831742247,0.9805358431665857,-0.0071398221492453805,-0.007183408820049425,-0.007227530929454103,-0.010229427080475594
outlet,15day,FarRight,Center,victim,tiktok,0.6813049764133817,0.6928087682874955,0.11777449976589525,0.11772113104203276,-0.01013028054354499,-0.014263569164750441
outlet,15day,FarRight,Center,victim,tara reade,-0.008493813448193955,0.9088362556955146,0.39915026566727785,-0.00864966468062408,-0.008702893888755042,-0.01095845570158972
outlet,15day,FarRight,CenterLeft,victim,jacob blake,0.7049865162000969,0.7049737241963174,-0.00859708264514136,-0.008649664680624117,-0.008702893888755059,-0.012682919260177514
outlet,15day,FarRight,Left,victim,jacob blake,0.5633795205560284,0.7549685174209187,-0.011543773579579501,-0.011614723048604763,-0.011686550067255663,-0.012460645695272709
outlet,15day,FarRight,Left,victim,britney spears,-0.008053089156873078,0.8938896856393826,-0.008150940146297213,-0.00820076281576303,-0.008251198315720682,-0.008035695600479346
outlet,15day,FarRight,FarLeft,victim,hillary clinton,0.7175342122856831,0.6061120285972643,0.6582364168725757,0.7452210662726951,0.6897335889492198,-0.02474726136086122
outlet,15day,FarRight,FarLeft,victim,michael cohen,0.444398446276026,0.6518478719551906,0.17432901755382246,0.04958225255312504,-0.01291726332216223,-0.013786495334348484
outlet,15day,FarRight,FarLeft,victim,afghans,-0.014287658317061077,0.7858299524641279,0.38568775983158615,-0.014552736744854109,-0.014643295815336698,-0.009950377681023376
